Prey_Species,Potamogale_velox,Addax_nasomaculatus,Aepyceros_melampus,Alcelaphus_buselaphus,Ammotragus_lervia,Antidorcas_marsupialis,Beatragus_hunteri,Capra_walie,Cephalophus_adersi,Cephalophus_callipygus,Cephalophus_dorsalis,Cephalophus_harveyi,Cephalophus_jentinki,Cephalophus_leucogaster,Cephalophus_natalensis,Cephalophus_niger,Cephalophus_nigrifrons,Cephalophus_ogilbyi,Cephalophus_rufilatus,Cephalophus_silvicultor,Cephalophus_spadix,Cephalophus_weynsi,Cephalophus_zebra,Connochaetes_gnou,Connochaetes_taurinus,Damaliscus_lunatus,Damaliscus_pygargus,Eudorcas_rufifrons,Eudorcas_thomsonii,Gazella_dorcas,Hippotragus_equinus,Hippotragus_niger,Kobus_ellipsiprymnus,Kobus_kob,Kobus_leche,Kobus_megaceros,Kobus_vardonii,Litocranius_walleri,Madoqua_guentheri,Madoqua_kirkii,Madoqua_saltiana,Nanger_dama,Nanger_granti,Nanger_soemmerringii,Neotragus_batesi,Neotragus_pygmaeus,Nesotragus_moschatus,Oreotragus_oreotragus,Oryx_beisa,Oryx_dammah,Oryx_gazella,Ourebia_ourebi,Pelea_capreolus,Philantomba_maxwellii,Philantomba_monticola,Raphicerus_campestris,Raphicerus_melanotis,Raphicerus_sharpei,Redunca_arundinum,Redunca_fulvorufula,Redunca_redunca,Sylvicapra_grimmia,Syncerus_caffer,Tragelaphus_angasii,Tragelaphus_buxtoni,Tragelaphus_derbianus,Tragelaphus_eurycerus,Tragelaphus_imberbis,Tragelaphus_oryx,Tragelaphus_scriptus,Tragelaphus_spekii,Tragelaphus_strepsiceros,Giraffa_camelopardalis,Okapia_johnstoni,Choeropsis_liberiensis,Hippopotamus_amphibius,Hylochoerus_meinertzhageni,Phacochoerus_aethiopicus,Phacochoerus_africanus,Potamochoerus_larvatus,Potamochoerus_porcus,Hyemoschus_aquaticus,Canis_adustus,Canis_aureus,Canis_mesomelas,Canis_simensis,Lycaon_pictus,Otocyon_megalotis,Vulpes_chama,Vulpes_pallida,Vulpes_rueppellii,Vulpes_zerda,Acinonyx_jubatus,Caracal_aurata,Caracal_caracal,Felis_margarita,Felis_nigripes,Felis_silvestris,Leptailurus_serval,Panthera_leo,Panthera_pardus,Atilax_paludinosus,Bdeogale_crassicauda,Bdeogale_jacksoni,Bdeogale_nigripes,Bdeogale_omnivora,Crossarchus_alexandri,Crossarchus_ansorgei,Crossarchus_obscurus,Crossarchus_platycephalus,Cynictis_penicillata,Herpestes_flavescens,Herpestes_ichneumon,Herpestes_naso,Herpestes_pulverulentus,Herpestes_sanguineus,Ichneumia_albicauda,Liberiictis_kuhni,Mungos_gambianus,Mungos_mungo,Paracynictis_selousi,Rhynchogale_melleri,Suricata_suricatta,Crocuta_crocuta,Hyaena_hyaena,Parahyaena_brunnea,Proteles_cristata,Aonyx_capensis,Aonyx_congicus,Hydrictis_maculicollis,Ictonyx_libycus,Ictonyx_striatus,Mellivora_capensis,Nandinia_binotata,Civettictis_civetta,Genetta_abyssinica,Genetta_angolensis,Genetta_bourloni,Genetta_cristata,Genetta_genetta,Genetta_johnstoni,Genetta_maculata,Genetta_pardina,Genetta_servalina,Genetta_thierryi,Genetta_tigrina,Genetta_victoriae,Poiana_leightoni,Poiana_richardsonii,Dendrohyrax_arboreus,Dendrohyrax_dorsalis,Dendrohyrax_validus,Heterohyrax_brucei,Procavia_capensis,Lepus_capensis,Lepus_habessinicus,Lepus_saxatilis,Lepus_starcki,Lepus_victoriae,Poelagus_marjorita,Pronolagus_crassicaudatus,Pronolagus_randensis,Pronolagus_rupestris,Pronolagus_saundersiae,Rhynchocyon_chrysopygus,Equus_africanus,Equus_grevyi,Equus_quagga,Equus_zebra,Ceratotherium_simum,Diceros_bicornis,Phataginus_tetradactyla,Phataginus_tricuspis,Smutsia_gigantea,Smutsia_temminckii,Allenopithecus_nigroviridis,Allochrocebus_lhoesti,Allochrocebus_preussi,Allochrocebus_solatus,Cercocebus_agilis,Cercocebus_atys,Cercocebus_chrysogaster,Cercocebus_galeritus,Cercocebus_lunulatus,Cercocebus_torquatus,Cercopithecus_ascanius,Cercopithecus_campbelli,Cercopithecus_cephus,Cercopithecus_denti,Cercopithecus_diana,Cercopithecus_dryas,Cercopithecus_erythrotis,Cercopithecus_hamlyni,Cercopithecus_lowei,Cercopithecus_mitis,Cercopithecus_mona,Cercopithecus_neglectus,Cercopithecus_nictitans,Cercopithecus_petaurista,Chlorocebus_aethiops,Chlorocebus_cynosuros,Chlorocebus_djamdjamensis,Chlorocebus_pygerythrus,Chlorocebus_sabaeus,Chlorocebus_tantalus,Colobus_angolensis,Colobus_guereza,Colobus_polykomos,Colobus_satanas,Colobus_vellerosus,Erythrocebus_patas,Lophocebus_albigena,Lophocebus_aterrimus,Mandrillus_leucophaeus,Mandrillus_sphinx,Miopithecus_ogouensis,Papio_anubis,Papio_cynocephalus,Papio_hamadryas,Papio_papio,Papio_ursinus,Piliocolobus_badius,Piliocolobus_bouvieri,Piliocolobus_gordonorum,Piliocolobus_oustaleti,Piliocolobus_pennantii,Piliocolobus_preussi,Piliocolobus_temminckii,Piliocolobus_tephrosceles,Piliocolobus_tholloni,Procolobus_verus,Theropithecus_gelada,Otolemur_crassicaudatus,Otolemur_garnettii,Gorilla_beringei,Gorilla_gorilla,Pan_paniscus,Pan_troglodytes,Perodicticus_edwardsi,Perodicticus_ibeanus,Perodicticus_potto,Loxodonta_africana,Anomalurus_derbianus,Lophiomys_imhausi,Atherurus_africanus,Hystrix_africaeaustralis,Hystrix_cristata,Cricetomys_emini,Cricetomys_gambianus,Pedetes_capensis,Pedetes_surdaster,Epixerus_ebii,Protoxerus_stangeri,Xerus_inauris,Tachyoryctes_macrocephalus,Thryonomys_gregorianus,Thryonomys_swinderianus,Orycteropus_afer
Potamogale_velox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addax_nasomaculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aepyceros_melampus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcelaphus_buselaphus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,5,4,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammotragus_lervia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antidorcas_marsupialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beatragus_hunteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capra_walie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalophus_adersi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,2,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalophus_callipygus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
