Code,Community,Full.Name,Country,Long,Lat,Remove
ABER,Aberdare,Aberdare National Park,Kenya,36.68,-0.38,0
AIHS,Ai.Ais,Ai Ais Hot Springs National Park,Namibia,17.33,-27.85,0
AKA,Akagera,Akagera National Park,Rwanda,30.71,-1.64,0
AMB,Amboseli,Amboseli National Park,Kenya,37.24,-2.64,0
ARAW,Arawale,Arawale National Reserve,Kenya,40.15,-1.41,0
ARP,Arly.Partial,Arly Partial Faunal Reserve,Burkina Faso,1.14,11.4,0
ART,Arly.Total,Arly Total Faunal Reserve,Burkina Faso,1.44,11.55,0
ARUSH,Arusha,Arusha National Park,Tanzania,36.85,-3.25,0
BAHR,Bahr.Salamat,Bahr Salamat Faunal Reserve,Chad,19.43,10.56,0
BALE,Bale,Bale Mountains National Park,Ethiopia,39.68,6.93,0
BAN,Banhine,Banhine National Park,Mozambique,32.87,-22.81,0
BANG,Bangweulu,Bangweulu Swamps Wetland of International Importance,Zambia,30.15,-11.94,0
BIC,Bicuar,Bicuar National Park,Angola,14.81,-15.29,0
BIND,Binder.Lere,Binder Lere Faunal Reserve,Chad,14.46,9.66,0
BON,Bontioli,Bontioli Faunal Reserve,Burkina Faso,-3.12,10.85,0
BOU,Boumba.Bek,Boumba Bek National Park,Cameroon,14.99,2.66,0
BUD,Budongo,Budongo Forest Reserve,Uganda,31.59,1.82,0
BUF,Buffalo,Buffalo Partial Reserve,Angola,13.8,-12.77,0
BURU,Bururi.Forest,Bururi Forest Nature Reserve,Burundi,29.6,-3.93,0
CAM,Cameia,Cameia National Park,Angola,21.64,-11.91,0
CAN,Cangandala,Cangandala National Park,Angola,16.73,-9.87,0
CHOB,Chobe,Chobe National Park,Botswana,24.51,-18.55,0
CLIF,Cliff.of.Bandiagara,Cliff of Bandiagara World Heritage Site,Mali,-3.37,14.37,0
COM,Comoe,Comoe National Park,Ivory Coast,-3.73,9.12,0
DAAN,Daan.Viljoen,Daan Viljoen National Park,Namibia,16.96,-22.53,0
DEUX,Deux.Bales,Deux Bales National Park,Burkina Faso,-2.94,11.6,0
ETO,Etosha,Etosha National Park,Namibia,15.9,-18.95,0
GAM,Gambella,Gambella National Park,Ethiopia,34.13,7.96,0
GILE,Gile,Gile National Reserve,Mozambique,38.38,-16.55,0
GISH,Gishwati,Gishwati Forest Reserve,Rwanda,29.38,-1.82,0
GOMB,Gombe,Gombe National Park,Tanzania,29.63,-4.69,0
GONA,Gonarezhou,Gonarezhou National Park,Zimbabwe,31.88,-21.6,0
GORO,Gorongosa,Gorongosa National Park,Mozambique,34.5,-18.82,0
HELL,Hells.Gate,Hells Gate National Park,Kenya,36.32,-0.88,0
HWA,Hwange,Hwange National Park,Zimbabwe,26.56,-19.08,0
IONA,Iona,Iona National Park,Angola,12.33,-16.64,0
KAB,Kabore.Tambi,Kabore Tambi National Park,Burkina Faso,-1.26,11.47,0
KAFF,Kafue.Flats,Kafue Flats,Zambia,27.23,-15.64,0
