Order,Family,Genus,Species,Common_Name
Afrosoricida,Tenrecidae,Potamogale,Potamogale_velox,Giant_otter_shrew
Artiodactyla,Bovidae,Addax,Addax_nasomaculatus,Addax
Artiodactyla,Bovidae,Aepyceros,Aepyceros_melampus,Impala
Artiodactyla,Bovidae,Alcelaphus,Alcelaphus_buselaphus,Hartebeest
Artiodactyla,Bovidae,Ammotragus,Ammotragus_lervia,Barbary_sheep
Artiodactyla,Bovidae,Antidorcas,Antidorcas_marsupialis,Springbok
Artiodactyla,Bovidae,Beatragus,Beatragus_hunteri,Hirola
Artiodactyla,Bovidae,Capra,Capra_walie,Walia_ibex
Artiodactyla,Bovidae,Cephalophus,Cephalophus_adersi,Aders_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_callipygus,Peters_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_dorsalis,Bay_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_harveyi,Harveys_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_jentinki,Jentinks_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_leucogaster,White_bellied_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_natalensis,Red_forest_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_niger,Black_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_nigrifrons,Black_fronted_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_ogilbyi,Ogilbys_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_rufilatus,Red_flanked_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_silvicultor,Yellow_backed_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_spadix,Abbotts_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_weynsi,Weynss_duiker
Artiodactyla,Bovidae,Cephalophus,Cephalophus_zebra,Zebra_duiker
Artiodactyla,Bovidae,Connochaetes,Connochaetes_gnou,Black_wildebeest
Artiodactyla,Bovidae,Connochaetes,Connochaetes_taurinus,Blue_wildebeest
Artiodactyla,Bovidae,Damaliscus,Damaliscus_lunatus,Topi
Artiodactyla,Bovidae,Damaliscus,Damaliscus_pygargus,Bontebok
Artiodactyla,Bovidae,Eudorcas,Eudorcas_rufifrons,Red_fronted_gazelle
Artiodactyla,Bovidae,Eudorcas,Eudorcas_thomsonii,Thomsons_gazelle
Artiodactyla,Bovidae,Gazella,Gazella_dorcas,Dorcas_gazelle
Artiodactyla,Bovidae,Hippotragus,Hippotragus_equinus,Roan_antelope
Artiodactyla,Bovidae,Hippotragus,Hippotragus_niger,Sable_antelope
Artiodactyla,Bovidae,Kobus,Kobus_ellipsiprymnus,Waterbuck
Artiodactyla,Bovidae,Kobus,Kobus_kob,Kob
Artiodactyla,Bovidae,Kobus,Kobus_leche,Lechwe
Artiodactyla,Bovidae,Kobus,Kobus_megaceros,Nile_lechwe
Artiodactyla,Bovidae,Kobus,Kobus_vardonii,Puku
Artiodactyla,Bovidae,Litocranius,Litocranius_walleri,Gerenuk
Artiodactyla,Bovidae,Madoqua,Madoqua_guentheri,Gunthers_dik_dik
Artiodactyla,Bovidae,Madoqua,Madoqua_kirkii,Kirks_dik_dik
Artiodactyla,Bovidae,Madoqua,Madoqua_saltiana,Salts_dik_dik
Artiodactyla,Bovidae,Nanger,Nanger_dama,Dama_gazelle
Artiodactyla,Bovidae,Nanger,Nanger_granti,Grants_gazelle
Artiodactyla,Bovidae,Nanger,Nanger_soemmerringii,Soemmerrings_gazelle
Artiodactyla,Bovidae,Neotragus,Neotragus_batesi,Batess_pygmy_antelope
Artiodactyla,Bovidae,Neotragus,Neotragus_pygmaeus,Royal_antelope
Artiodactyla,Bovidae,Nesotragus,Nesotragus_moschatus,Suni
Artiodactyla,Bovidae,Oreotragus,Oreotragus_oreotragus,Klipspringer
Artiodactyla,Bovidae,Oryx,Oryx_beisa,East_african_oryx
Artiodactyla,Bovidae,Oryx,Oryx_dammah,Scimitar_oryx
Artiodactyla,Bovidae,Oryx,Oryx_gazella,South_african_oryx
Artiodactyla,Bovidae,Ourebia,Ourebia_ourebi,Oribi
Artiodactyla,Bovidae,Pelea,Pelea_capreolus,Grey_rhebok
Artiodactyla,Bovidae,Philantomba,Philantomba_maxwellii,Maxwells_duiker
Artiodactyla,Bovidae,Philantomba,Philantomba_monticola,Blue_duiker
Artiodactyla,Bovidae,Raphicerus,Raphicerus_campestris,Steenbok
Artiodactyla,Bovidae,Raphicerus,Raphicerus_melanotis,Cape_grysbok
Artiodactyla,Bovidae,Raphicerus,Raphicerus_sharpei,Sharpes_grysbok
Artiodactyla,Bovidae,Redunca,Redunca_arundinum,Southern_reedbuck
Artiodactyla,Bovidae,Redunca,Redunca_fulvorufula,Mountain_reedbuck
Artiodactyla,Bovidae,Redunca,Redunca_redunca,Bohor_reedbuck
Artiodactyla,Bovidae,Sylvicapra,Sylvicapra_grimmia,Common_duiker
Artiodactyla,Bovidae,Syncerus,Syncerus_caffer,African_buffalo
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_angasii,Nyala
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_buxtoni,Mountain_nyala
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_derbianus,Giant _eland
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_eurycerus,Bongo
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_imberbis,Lesser_kudu
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_oryx,Common_eland
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_scriptus,Harnessed_bushbuck
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_spekii,Sitatunga
Artiodactyla,Bovidae,Tragelaphus,Tragelaphus_strepsiceros,Greater_kudu
Artiodactyla,Giraffidae,Giraffa,Giraffa_camelopardalis,Giraffe
Artiodactyla,Giraffidae,Okapia,Okapia_johnstoni,Okapi
Artiodactyla,Hippopotamidae,Choeropsis,Choeropsis_liberiensis,Pygmy_hippopotamus
Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus_amphibius,Hippopotamus
Artiodactyla,Suidae,Hylochoerus,Hylochoerus_meinertzhageni,Giant_forest_hog
Artiodactyla,Suidae,Phacochoerus,Phacochoerus_aethiopicus,Desert_warthog
Artiodactyla,Suidae,Phacochoerus,Phacochoerus_africanus,Common_warthog
Artiodactyla,Suidae,Potamochoerus,Potamochoerus_larvatus,Bushpig
Artiodactyla,Suidae,Potamochoerus,Potamochoerus_porcus,Red_river_hog
Artiodactyla,Tragulidae,Hyemoschus,Hyemoschus_aquaticus,Water_chevrotain
Carnivora,Canidae,Canis,Canis_adustus,Side_striped_jackal
Carnivora,Canidae,Canis,Canis_aureus,Golden_jackal
Carnivora,Canidae,Canis,Canis_mesomelas,Black_backed_jackal
