"Code","Connectance","Species_Richness","Remove"
"ABER",0.198974609375,64,0
"AIHS",0.224977043158861,33,0
"AKA",0.169748273557585,67,0
"AMB",0.292866941015089,54,0
"ARAW",0.3193359375,32,0
"ARP",0.357438016528926,44,0
"ART",0.372633856138453,43,0
"ARUSH",0.224935363401321,59,0
"BAHR",0.324196597353497,46,0
"BALE",0.305062458908613,39,0
"BAN",0.286670918367347,56,0
"BANG",0.224360815857512,59,0
"BIC",0.292089873807325,57,0
"BIND",0.294814814814815,45,0
"BON",0.383656509695291,38,0
"BOU",0.0869082840236686,52,0
"BUD",0.148038049940547,58,0
"BUF",0.325486645540969,47,0
"BURU",0.159938485198001,51,0
"CAM",0.263471074380165,55,0
"CAN",0.316840277777778,48,0
"CHOB",0.262280953748923,59,0
"CLIF",0.358024691358025,27,0
"COM",0.169875130072841,62,0
"DAAN",0.248125,40,0
"DEUX",0.313711911357341,38,0
"ETO",0.330729166666667,48,0
"GAM",0.3156,50,0
"GILE",0.2764,50,0
"GISH",0.124428916957807,61,0
"GOMB",0.235939643347051,54,0
"GONA",0.256804733727811,65,0
"GORO",0.246135552913199,58,0
"HELL",0.162604042806183,58,0
"HWA",0.285550129273197,59,0
"IONA",0.36441828881847,47,0
"KAB",0.361689470553242,41,0
"KAFF",0.207133058984911,54,0
"KAFNP",0.254722222222222,60,0
"KAK",0.173125,40,0
"KFR",0.356543209876543,45,0
"KGA",0.451557093425606,34,0
"KHA",0.365925925925926,45,0
"KIBA",0.164179104477612,67,0
"KIBI",0.155325443786982,52,0
"KID",0.274778106508876,52,0
"KILI",0.237847222222222,48,0
"KIZI",0.27588813303099,63,0
"KRU",0.259511211892164,63,0
"KSA",0.25,62,0
"LAKMA",0.211181640625,64,0
"LAKMW",0.200749687630154,49,0
"LAKN",0.239183015318463,61,0
"LAKR",0.225797184717035,59,0
"LATE",0.089196462898885,51,0
"LEF",0.137283950617284,45,0
"LENG",0.234525182622068,51,0
"LIWO",0.202734839476813,58,0
"LOL",0.253269916765755,58,0
"LUA",0.286351165980796,54,0
"LUE",0.290850836596654,53,0
"MAD",0.356543209876543,45,0
"MAG",0.294117647058824,51,0
"MAGO",0.268430439952438,58,0
"MAJ",0.219651121395514,53,0
"MANA",0.25280091927607,59,0
"MANNP",0.321481481481481,45,0
"MARE",0.265432098765432,36,0
"MARS",0.302374010828821,49,0
"MASA",0.219290657439446,68,0
"MAT",0.288714845140619,53,0
"MATO",0.190743801652893,55,0
"MAV",0.338162064282481,47,0
"MERU",0.232514177693762,69,0
"MGSF",0.292986828052688,53,0
"MIKU",0.282525510204082,56,0
"MMNP",0.204722222222222,60,0
"MOC",0.364897959183673,35,0
"MTAS",0.324128564961521,47,0
"MTE",0.169354838709677,62,0
"MTFO",0.12494341330919,47,0
"MTK",0.214458478903521,61,0
"MUD",0.280393967374577,57,0
"MUPA",0.2908,50,0
"MUR",0.214018960068946,59,0
"MUSH",0.170665459483929,47,0
"MWAB",0.258230452674897,54,0
"MWE",0.228316326530612,56,0
"NAI",0.25585798816568,65,0
"NAMI",0.307397959183673,28,0
"NGCA",0.254201183431953,65,0
"NGO",0.079719387755102,56,0
"NIA",0.293269230769231,52,0
"NKA",0.267354930580278,53,0
"NKH",0.267159125884888,57,0
"NOU",0.0903498654363706,51,0
"NYA",0.109837278106509,52,0
"NYK",0.2724,50,0
"NYU",0.135734072022161,57,0
"ODZ",0.132348414896891,57,0
"OKA",0.265620190827947,57,0
"OMO",0.274546014158203,57,0
"PFR",0.354074074074074,45,0
"PWN",0.341145833333333,48,0
"QNP",0.346590909090909,44,0
"RUA",0.244733727810651,65,0
"RUS",0.155726573110005,47,0
"RUV",0.239795918367347,42,0
"RWEN",0.194489795918367,70,0
"SALO",0.0850694444444444,48,0
"SAM",0.247629991381787,59,0
"SELO",0.235996326905418,66,0
"SIM",0.3975,40,0
"SING",0.353086419753086,45,0
"SMNP",0.315101070154578,29,0
"SNP",0.238979591836735,70,0
"TAM",0.36641975308642,45,0
"TAR",0.243295847750865,68,0
"TSA",0.253963988175222,61,0
"TSO",0.173333333333333,45,0
"VMW",0.259120942257972,59,0
"VOL",0.134755555555556,75,0
"WBP",0.265185185185185,45,0
"WLNP",0.282662869348523,53,0
"WNP",0.341107871720117,49,0
"ZAK",0.333677685950413,44,0
"ZIN",0.285289256198347,55,0
