Species,Order,Family,Genus,Mass.g
Potamogale_velox,Afrosoricida,Tenrecidae,Potamogale,660
Addax_nasomaculatus,Artiodactyla,Bovidae,Addax,70000.3
Aepyceros_melampus,Artiodactyla,Bovidae,Aepyceros,52500.1
Alcelaphus_buselaphus,Artiodactyla,Bovidae,Alcelaphus,171001.5
Ammotragus_lervia,Artiodactyla,Bovidae,Ammotragus,48000
Antidorcas_marsupialis,Artiodactyla,Bovidae,Antidorcas,31500
Beatragus_hunteri,Artiodactyla,Bovidae,Beatragus,80000
Capra_walie,Artiodactyla,Bovidae,Capra,1E+05
Cephalophus_adersi,Artiodactyla,Bovidae,Cephalophus,9250
Cephalophus_callipygus,Artiodactyla,Bovidae,Cephalophus,18249.9
Cephalophus_dorsalis,Artiodactyla,Bovidae,Cephalophus,20000
Cephalophus_harveyi,Artiodactyla,Bovidae,Cephalophus,14500.1
Cephalophus_jentinki,Artiodactyla,Bovidae,Cephalophus,70000.3
Cephalophus_leucogaster,Artiodactyla,Bovidae,Cephalophus,12699.9
Cephalophus_natalensis,Artiodactyla,Bovidae,Cephalophus,12000
Cephalophus_niger,Artiodactyla,Bovidae,Cephalophus,20400
Cephalophus_nigrifrons,Artiodactyla,Bovidae,Cephalophus,13899.8
Cephalophus_ogilbyi,Artiodactyla,Bovidae,Cephalophus,20000
Cephalophus_rufilatus,Artiodactyla,Bovidae,Cephalophus,12000
Cephalophus_silvicultor,Artiodactyla,Bovidae,Cephalophus,72500.3
Cephalophus_spadix,Artiodactyla,Bovidae,Cephalophus,56000.3
Cephalophus_weynsi,Artiodactyla,Bovidae,Cephalophus,17000
Cephalophus_zebra,Artiodactyla,Bovidae,Cephalophus,17500.1
Connochaetes_gnou,Artiodactyla,Bovidae,Connochaetes,179999
Connochaetes_taurinus,Artiodactyla,Bovidae,Connochaetes,179999
Damaliscus_lunatus,Artiodactyla,Bovidae,Damaliscus,136000.3
Damaliscus_pygargus,Artiodactyla,Bovidae,Damaliscus,102000
Eudorcas_rufifrons,Artiodactyla,Bovidae,Eudorcas,26999.8
Eudorcas_thomsonii,Artiodactyla,Bovidae,Eudorcas,20499.8
Gazella_dorcas,Artiodactyla,Bovidae,Gazella,23000.1
Hippotragus_equinus,Artiodactyla,Bovidae,Hippotragus,269997.7
Hippotragus_niger,Artiodactyla,Bovidae,Hippotragus,227499.3
Kobus_ellipsiprymnus,Artiodactyla,Bovidae,Kobus,210000.3
Kobus_kob,Artiodactyla,Bovidae,Kobus,78500.1
Kobus_leche,Artiodactyla,Bovidae,Kobus,110749
Kobus_megaceros,Artiodactyla,Bovidae,Kobus,87500.4
Kobus_vardonii,Artiodactyla,Bovidae,Kobus,71500.7
Litocranius_walleri,Artiodactyla,Bovidae,Litocranius,37999.7
Madoqua_guentheri,Artiodactyla,Bovidae,Madoqua,7500
Madoqua_kirkii,Artiodactyla,Bovidae,Madoqua,5300.1
Madoqua_saltiana,Artiodactyla,Bovidae,Madoqua,3250
Nanger_dama,Artiodactyla,Bovidae,Nanger,72999.5
Nanger_granti,Artiodactyla,Bovidae,Nanger,54999.7
Nanger_soemmerringii,Artiodactyla,Bovidae,Nanger,40000
Neotragus_batesi,Artiodactyla,Bovidae,Neotragus,3000
Neotragus_pygmaeus,Artiodactyla,Bovidae,Neotragus,4000
Nesotragus_moschatus,Artiodactyla,Bovidae,Nesotragus,6500
Oreotragus_oreotragus,Artiodactyla,Bovidae,Oreotragus,12999.9
Oryx_beisa,Artiodactyla,Bovidae,Oryx,170000
Oryx_dammah,Artiodactyla,Bovidae,Oryx,2E+05
Oryx_gazella,Artiodactyla,Bovidae,Oryx,169001.3
Ourebia_ourebi,Artiodactyla,Bovidae,Ourebia,17250
Pelea_capreolus,Artiodactyla,Bovidae,Pelea,20000
Philantomba_maxwellii,Artiodactyla,Bovidae,Philantomba,12000
Philantomba_monticola,Artiodactyla,Bovidae,Philantomba,6250
Raphicerus_campestris,Artiodactyla,Bovidae,Raphicerus,10500
Raphicerus_melanotis,Artiodactyla,Bovidae,Raphicerus,10249.9
Raphicerus_sharpei,Artiodactyla,Bovidae,Raphicerus,9499.9
Redunca_arundinum,Artiodactyla,Bovidae,Redunca,58000.3
Redunca_fulvorufula,Artiodactyla,Bovidae,Redunca,29499.9
Redunca_redunca,Artiodactyla,Bovidae,Redunca,44050.4
Sylvicapra_grimmia,Artiodactyla,Bovidae,Sylvicapra,19499.8
Syncerus_caffer,Artiodactyla,Bovidae,Syncerus,580002.7
Tragelaphus_angasii,Artiodactyla,Bovidae,Tragelaphus,86600.4
Tragelaphus_buxtoni,Artiodactyla,Bovidae,Tragelaphus,215000.8
Tragelaphus_derbianus,Artiodactyla,Bovidae,Tragelaphus,680000
Tragelaphus_eurycerus,Artiodactyla,Bovidae,Tragelaphus,329003.1
Tragelaphus_imberbis,Artiodactyla,Bovidae,Tragelaphus,81575.5
Tragelaphus_oryx,Artiodactyla,Bovidae,Tragelaphus,569993.6
Tragelaphus_scriptus,Artiodactyla,Bovidae,Tragelaphus,43250.4
Tragelaphus_spekii,Artiodactyla,Bovidae,Tragelaphus,77999.2
Tragelaphus_strepsiceros,Artiodactyla,Bovidae,Tragelaphus,213501
Giraffa_camelopardalis,Artiodactyla,Giraffidae,Giraffa,899994.8
Okapia_johnstoni,Artiodactyla,Giraffidae,Okapia,230001.1
Choeropsis_liberiensis,Artiodactyla,Hippopotamidae,Choeropsis,235001.2
Hippopotamus_amphibius,Artiodactyla,Hippopotamidae,Hippopotamus,1417490
Hylochoerus_meinertzhageni,Artiodactyla,Suidae,Hylochoerus,188500
Phacochoerus_aethiopicus,Artiodactyla,Suidae,Phacochoerus,71000.3
Phacochoerus_africanus,Artiodactyla,Suidae,Phacochoerus,82500
Potamochoerus_larvatus,Artiodactyla,Suidae,Potamochoerus,97500
Potamochoerus_porcus,Artiodactyla,Suidae,Potamochoerus,70000.3
Hyemoschus_aquaticus,Artiodactyla,Tragulidae,Hyemoschus,10850
Canis_adustus,Carnivora,Canidae,Canis,10249.9
Canis_aureus,Carnivora,Canidae,Canis,10345.2
Canis_mesomelas,Carnivora,Canidae,Canis,8500
Canis_simensis,Carnivora,Canidae,Canis,10000
Lycaon_pictus,Carnivora,Canidae,Lycaon,22050.1
Otocyon_megalotis,Carnivora,Canidae,Otocyon,4150
Vulpes_chama,Carnivora,Canidae,Vulpes,2955
Vulpes_pallida,Carnivora,Canidae,Vulpes,2800
Vulpes_rueppellii,Carnivora,Canidae,Vulpes,2865
Vulpes_zerda,Carnivora,Canidae,Vulpes,1100
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,46700
Caracal_aurata,Carnivora,Felidae,Caracal,10650
Caracal_caracal,Carnivora,Felidae,Caracal,13749.9
Felis_margarita,Carnivora,Felidae,Felis,2525
Felis_nigripes,Carnivora,Felidae,Felis,1300
Felis_silvestris,Carnivora,Felidae,Felis,5500
Leptailurus_serval,Carnivora,Felidae,Leptailurus,12000
Panthera_leo,Carnivora,Felidae,Panthera,161499.1
Panthera_pardus,Carnivora,Felidae,Panthera,54999.7
Atilax_paludinosus,Carnivora,Herpestidae,Atilax,3300
Bdeogale_crassicauda,Carnivora,Herpestidae,Bdeogale,1550
Bdeogale_jacksoni,Carnivora,Herpestidae,Bdeogale,2500
Bdeogale_nigripes,Carnivora,Herpestidae,Bdeogale,2500
Bdeogale_omnivora,Carnivora,Herpestidae,Bdeogale,1750
Crossarchus_alexandri,Carnivora,Herpestidae,Crossarchus,1500
Crossarchus_ansorgei,Carnivora,Herpestidae,Crossarchus,700
Crossarchus_obscurus,Carnivora,Herpestidae,Crossarchus,1250
Crossarchus_platycephalus,Carnivora,Herpestidae,Crossarchus,1000
Cynictis_penicillata,Carnivora,Herpestidae,Cynictis,836
Herpestes_flavescens,Carnivora,Herpestidae,Herpestes,750
Herpestes_ichneumon,Carnivora,Herpestidae,Herpestes,5175
Herpestes_naso,Carnivora,Herpestidae,Herpestes,3000
Herpestes_pulverulentus,Carnivora,Herpestidae,Herpestes,797
Herpestes_sanguineus,Carnivora,Herpestidae,Herpestes,550
Ichneumia_albicauda,Carnivora,Herpestidae,Ichneumia,3500
Liberiictis_kuhni,Carnivora,Herpestidae,Liberiictis,2150
Mungos_gambianus,Carnivora,Herpestidae,Mungos,1500
Mungos_mungo,Carnivora,Herpestidae,Mungos,1925
Paracynictis_selousi,Carnivora,Herpestidae,Paracynictis,1640
Rhynchogale_melleri,Carnivora,Herpestidae,Rhynchogale,2500
Suricata_suricatta,Carnivora,Herpestidae,Suricata,725.5
Crocuta_crocuta,Carnivora,Hyaenidae,Crocuta,62999.9
Hyaena_hyaena,Carnivora,Hyaenidae,Hyaena,41705.1
Parahyaena_brunnea,Carnivora,Hyaenidae,Parahyaena,32200.3
Proteles_cristata,Carnivora,Hyaenidae,Proteles,10000
Aonyx_capensis,Carnivora,Mustelidae,Aonyx,18999.8
Aonyx_congicus,Carnivora,Mustelidae,Aonyx,23800.2
Hydrictis_maculicollis,Carnivora,Mustelidae,Hydrictis,4000
Ictonyx_libycus,Carnivora,Mustelidae,Ictonyx,2062.5
Ictonyx_striatus,Carnivora,Mustelidae,Ictonyx,1300
Mellivora_capensis,Carnivora,Mustelidae,Mellivora,8500
Nandinia_binotata,Carnivora,Nandiniidae,Nandinia,2000
