Species,Mass.g,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Seed,Fruit,Nectar,Root,Woody,Herbaceous,Other
Potamogale_velox,660.0,3,0,0,3,3,3,0,0,0,0,0,0,0
Addax_nasomaculatus,70000.3,0,0,0,0,0,0,0,0,0,0,0,3,0
Aepyceros_melampus,52500.1,0,0,0,0,0,0,0,0,0,0,3,3,0
Alcelaphus_buselaphus,171001.5,0,0,0,0,0,0,0,0,0,0,0,3,0
Ammotragus_lervia,48000.0,0,0,0,0,0,0,0,0,0,0,3,3,0
Antidorcas_marsupialis,31500.0,0,0,0,0,0,0,0,0,0,0,3,3,0
Beatragus_hunteri,80000.0,0,0,0,0,0,0,0,0,0,0,0,3,0
Capra_walie,100000.0,0,0,0,0,0,0,0,0,0,0,3,0,0
Cephalophus_adersi,9250.0,0,0,0,0,0,0,3,3,0,0,0,0,3
Cephalophus_callipygus,18249.9,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_dorsalis,20000.0,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_harveyi,14500.1,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_jentinki,70000.3,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_leucogaster,12699.9,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_natalensis,12000.0,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_niger,20400.0,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_nigrifrons,13899.8,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_ogilbyi,20000.0,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_rufilatus,12000.0,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_silvicultor,72500.3,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_spadix,56000.3,1,0,0,1,0,0,0,0,0,0,3,3,0
Cephalophus_weynsi,17000.0,2,0,2,0,0,0,0,3,0,0,3,3,0
Cephalophus_zebra,17500.1,2,0,2,0,0,0,0,3,0,0,3,3,0
Connochaetes_gnou,179999.0,0,0,0,0,0,0,0,0,0,0,0,3,0
