Site,Aberdare,Ai.Ais,Akagera,Amboseli,Arawale,Arly.Partial,Arly.Total,Arusha,Bahr.Salamat,Bale,Bangweulu,Banhine,Bicuar,Binder.Lere,Bontioli,Boumba.Bek,Budongo,Buffalo,Bururi.Forest,Cameia,Cangandala,Chobe,Cliff.of.Bandiagara,Comoe,Daan.Viljoen,Deux.Bales,Etosha,Gambella,Gile,Gishwati,Gombe,Gonarezhou,Gorongosa,Hells.Gate,Hwange,Iona,Kabore.Tambi,Kafue,Kafue.Flats,Kakamega,Kasungu,Kgalagadi.Transfrontier,Khaudum,Kibale,Kibira,Kidepo.Valley,Kilimanjaro,Kizigo,Kourtiagou,Kruger,Lac.Tele,Lake.Manyara,Lake.Mweru,Lake.Nakuru,Lake.Rukwa,Lefini,Lengwe,Liwonde,Lolldaiga,Luando,Luengue.Luiana,Madjoari,Mago,Mahale.Mountains,Mahango,Majete,Mana.Pools,Manda,Manovo.Gounda.Saint.Floris,Mare.aux.Hippopotames,Marsabit,Masai.Mara,Matobo,Matusadona,Mavinga,Meru,Mikumi,Mocamedes,Mont.Fouari,Mount.Assirik,Mount.Elgon,Mount.Kenya,Mudumu,Mupa,Murchison.Falls,Mushandike,Mwabvi,Mweru.Wantipa,Nairobi,Namib.Naukluft,Ngorongoro,Ngotto.Forest,Niassa,Nkasa.Rupara,Nkhotakota,Nouabale.Ndoki,Nyanga.Nord,Nyika,Nyungwe,Odzala.Kokoua,Okavango.Delta,Omo,Pama,Parc.W.Niger,Quiçãma,Ruaha,Rusizi,Ruvubu,Rwenzori.Mountains,Salonga,Samburu,Selous,Serengeti,Simien.Mountains,Singou,Siniaka.Minia,Tamou,Tarangire,Tsavo,Tsoulou,Volcans,Vwaza.Marsh,W,Waterberg.Plateau,West.Lunga,Zakouma,Zinave
Aberdare,0,29513.5019646711,24299.9447352347,29764.9395946197,42947.6031494141,22542.6341108837,24972.3255880635,8069.07974132392,24830.1374638638,22216.4356978375,16311.8060511972,26468.7516533464,17889.3530568369,13851.2129457835,21366.5435687323,47102.5122408205,33991.2450525262,26406.7554821489,31417.6864556211,15433.8063873518,14625.1822781036,21182.6618443224,41151.2799762164,32617.9707507591,26971.4694352212,17966.5854367081,37353.3425699872,29287.8060137374,14455.8971719401,35568.864018555,19634.8562237781,15397.5030976588,12388.1849146535,12249.4831618929,22026.6898846785,44264.0349709985,26485.8149160139,9335.6623106557,29090.0962675961,29123.4950810064,9292.21653846526,76925.4544551019,38558.3014927556,30798.4073460416,31724.8286739649,18323.6536701507,21563.4165717236,17243.4105604742,21728.8169630719,16517.2241198323,47065.6488579639,9239.90486653644,28593.6919731152,14044.8148927998,17278.7456322721,33461.3071951543,21644.2742245976,25390.3560596511,22360.5512965772,8671.3195216395,9726.64234135821,21728.8169630719,23891.2390570711,23667.5281700311,12002.3242554983,23116.5608830726,9168.47272480702,20753.8585343736,12587.180372164,26225.2663378299,39994.4688850859,15293.1627349322,14548.3395854,9652.14863046403,18536.9775718319,14233.6125365468,19107.3441992519,50074.2476368847,38619.2003323334,15198.4879528006,23235.407044029,15380.3789950995,17588.3391992827,21590.5656305336,22657.7972195396,18903.0156835208,15737.2105103377,14934.8938245701,16124.1617938609,55180.1268742361,16487.9326694732,47907.1355030743,10831.4334514547,17691.5635895657,6134.96606471508,46764.7961976391,39932.5268408773,14072.040564128,33786.4213427065,36694.6298195034,17585.7563854158,25838.0018350367,30437.6202170744,26553.9892985018,22524.8131426347,10281.1054331263,31173.8707710756,23515.7266247807,27763.8911673236,44703.7896464886,22444.9092500683,13001.9511542762,14069.826460425,31283.4267188635,30432.5400153724,40860.3803271481,32526.0982938496,14497.9013532482,19137.7120107635,31933.5957471775,37523.0744899091,8005.9531828026,25457.7410223999,28447.2727530034,9908.44829136675,28554.2623970301,20802.6234852935
Ai Ais,29513.5019646711,0,47040.6152328582,20260.3131029713,29896.2442204357,20329.8560032137,17962.3324097832,31500.5198494235,14542.9276081618,30433.5434767255,39559.372124756,18617.251934787,19049.8698833593,25459.9165569838,20968.1319166236,68284.6328214873,55479.1362510781,16397.3285622286,52930.2734886614,38170.2479706154,31235.1827149342,16212.7805377093,22655.6367887631,56301.6330399709,15245.3690716832,30632.0625949116,27333.9647002694,19295.0961797983,35019.0885257114,57597.4371349851,41817.6289203761,19679.0358555702,27213.6539028945,34268.8831653063,16441.1834899219,30442.8058125601,17726.4169531847,34447.856711432,50047.1339914288,42349.5384283847,34948.5567856342,54325.9273854863,25530.7862121214,53402.007966596,51763.2821828697,21295.2061300199,39712.4843642388,17883.4043183851,20215.3162350779,17338.7780687728,66822.2475984999,24711.3621061691,49741.8533534492,21127.5894776362,40301.8416059731,51788.7468434338,41997.4934847057,48344.5014513174,18193.1829686858,28586.2121112921,27468.7333410888,20215.3162350779,17854.0475672718,46323.8596671258,27278.2481745732,44593.6614175268,32912.7659553666,20498.4855157637,28453.0230744455,35648.0283612652,27763.4513754314,36997.1252847764,22231.6022287183,28049.5078614305,22754.7055765377,22516.4906039691,19314.4189976348,29149.7285974779,55207.3891342712,29368.4747147902,45928.8458805253,39084.8499431415,20302.2639569326,22051.7181172627,44762.294089599,36937.4669522808,37520.7419147981,37934.2239877613,20444.4480726312,36689.4753547761,19418.2663213095,69728.6030606075,27201.5736313512,23592.9679192242,31559.4155229579,66948.0610361312,58351.3715169857,33709.4506826442,55633.8021871363,59758.6766541647,20061.4727465413,19124.3249245158,17949.7629333746,17335.9608639665,20757.2753099167,25222.2394458576,49042.6927852804,40053.7312374672,49171.1262769631,61981.3271692532,16306.9319984863,37199.0734618909,22142.3552111096,20774.4709931715,17137.1208325685,25140.5440627867,19609.4640353029,21088.4264357368,16503.0622856558,46985.4216310829,60541.450122498,32751.2468399887,19426.3182350752,17631.1439694934,28857.2083125341,18359.9557793845,17855.6138751146
Akagera,24299.9447352347,47040.6152328582,0,49675.4261366231,53128.6819103829,42482.2171456616,44919.0961873863,22817.0231525158,43493.8914374276,30295.6158890993,18173.1290146229,46114.4359096968,38620.6064088653,32216.8534657695,35817.9539072329,29909.6958612305,21242.7900497301,43357.9537578494,20456.9940429055,19012.8350563818,25293.9010162378,40283.8118824038,61383.8738703146,16157.5530427774,46944.3275552052,27217.3164110045,56747.9358938361,49397.7366147766,21725.0379966061,19012.375248446,15198.6908035726,34252.7520678979,27085.9296660686,20737.4588067627,42593.1887855473,64221.3806980624,45091.5576438146,22056.6194415043,14405.3724882979,19416.7353927457,20341.8659756338,96115.8826820333,58636.3550009896,15767.9902168269,18055.2982543667,37946.3398005994,18083.8698114877,37984.9194569904,40844.7963445071,36625.8116112869,30522.810458793,29212.0813080474,14733.6607151445,34697.2991736916,18066.4832155975,18705.8492422098,16142.7086262771,13928.3758963037,41716.6504011005,27908.8683994274,29484.3333170195,40844.7963445071,43433.8583269325,12734.1245138107,31966.8582116531,15889.0619639127,22739.2120883682,39638.1327955581,30008.7399896917,24074.4984336707,59928.9071179542,17996.4726418265,33169.9849860834,28605.4894213441,36807.3724327622,33602.6781973682,39752.4960326891,69358.1067003999,25719.7928527754,25205.6991441045,13458.3368217339,13906.8226834383,37575.3764590571,35155.1504933758,12015.0748221528,22521.2347427502,19208.4410458577,20291.8130248679,36698.4275332008,75119.2818684812,36357.1929117941,30044.4581708149,30472.8770477128,31640.5561866474,24250.8332003432,29620.7719527626,25513.8075030544,21914.094103512,19978.0007767116,21300.6807271552,36783.089593403,44479.7394954904,50003.2845518398,46048.7244126168,42352.779455727,28605.7552637696,18812.9765400332,20063.5095510937,11665.3597999864,27049.5341355229,41539.32552333,18017.8472124032,32074.6470824594,51261.8796722531,49722.988965152,60033.2217462131,52090.2460915157,33909.3594069133,39258.676905197,20183.6317718913,18952.596954625,22931.1080196956,46111.6865539892,48337.3497909429,29344.7086438142,47859.9156638909,40719.12460624
Amboseli,29764.9395946197,20260.3131029713,49675.4261366231,0,34279.4857132529,19262.7696280989,18697.0269014282,31458.7136559265,13834.2047284582,35940.7636859689,40377.8176172606,8655.28977724066,16241.7195305112,28219.5170233198,26481.0206051057,70484.5490367624,56933.2382204979,17275.9063702961,53110.0854781638,37225.7276622,31293.2889660496,12176.6149690615,22921.0709876538,58997.5278458476,15437.950508831,37427.1511286475,13693.2268786433,7726.7139050754,37103.2860006857,60810.5489917699,41332.3001543216,18962.4749586854,28259.552324275,34193.7564229052,12251.9170071389,18637.1164981804,16552.8454760256,35064.7249982853,50902.917438272,50745.0518172262,36116.888795661,51800.7616262857,13120.2726406034,58077.7320050914,53263.5140639177,17924.9642464353,41475.0311481906,17115.2787505947,20395.5627640604,16527.2814415892,70126.5700365434,25275.9484071248,51498.3448101759,19767.2734674448,41785.9647494589,56225.9813737828,43563.582261809,49950.0463581751,11831.1612835783,25783.5284636486,26514.1035586548,20395.5627640604,9721.03977450643,47370.2286111111,25272.4257058066,45165.72457528,33508.6791670158,21664.1150617282,26781.0279234853,45321.9197959548,13913.7184670709,37224.9574584917,20118.1248415346,25818.1043893182,21923.5424309364,23471.4201731663,15368.1568179867,26334.6612589239,59914.6130589849,33371.5039761272,48043.8208675732,40875.1809272926,16077.4856252067,21285.0811567897,46476.6305895729,40017.2539857522,37227.9981995883,38023.3188353401,19405.2903970337,29611.3060498377,19513.00291065,71252.2217018368,25521.1260399677,22844.3280257675,30113.21944074,70270.0531589339,62437.2369441688,35188.7196864196,57595.8690548367,61709.02927349,16078.6333938461,8267.30719898648,12121.2931344312,15753.607871978,20447.0214745662,25902.1394189173,53492.197792928,44858.2170204501,53518.3558503405,67232.9096627333,11040.5250857682,39787.6921090817,22818.040487109,27565.6732925401,13092.5878463651,15973.2236994173,13940.4284019211,20894.7251954677,14583.3361896252,50612.1103263984,64616.1107975323,32557.1359383227,16725.9489179608,12982.1819821678,27815.2134743138,11047.9432601121,13956.263612046
Arawale,42947.6031494141,29896.2442204357,53128.6819103829,34279.4857132529,0,34942.4540343059,33484.7003173166,45312.577010037,35414.4891636637,38635.4956269773,50617.6409920407,33447.0459117243,36536.3103124277,39591.3222559801,30977.9182717284,76373.8489208333,63139.8621201354,30522.8836069241,59742.9126902062,46930.3405431083,39654.3338758688,36839.2709386295,32959.821664148,63244.2582477696,33893.3322135415,38834.6848110721,30786.1376953129,34606.5641119793,44941.3124661459,65916.1453472225,48295.5870788321,38078.0908899624,41869.0037049765,43480.132800888,34352.0746670542,29901.2089320622,33249.7149498694,48493.5574522568,58512.322070044,50846.4377551868,47753.1936723619,46789.5520191309,29949.3850168793,62005.6095000163,59572.2154061839,38267.8928516399,45712.062608507,36061.4375688941,35280.4262046684,36820.1389801727,75583.6555989582,41968.8360595704,57150.4316850943,37952.4006661067,51911.0820919404,60257.8050399236,49486.4870707777,55832.9310464814,35970.6768681258,43799.1885716734,44159.1214300482,35280.4262046684,35190.1872193786,53278.9515060767,42989.8977830794,52144.441652969,47638.4824413263,37258.6171383105,44151.3181063982,41022.9265769674,28529.1896449663,46031.7003068234,41988.4645881082,43151.8633908772,37865.2450451282,40448.7745935406,36396.6653778707,26848.9616836732,63857.1968523337,41727.7954696169,52792.0444954114,49381.6771037169,38102.1376715673,32810.8727817712,51981.757914617,48487.0698322501,47806.3157632454,50378.2205171137,37609.043056968,30423.6568611829,37204.9063866034,78247.7230078448,42718.5387369791,36983.031005136,45159.9124874963,75770.4742231152,67351.0599809758,43800.9934833331,64084.6564758721,67855.1100855548,39450.5762202673,34444.3100900037,30836.6096976278,36187.2580295139,37631.5852595563,42382.8600429154,57340.373597615,48034.8955897463,57702.769116444,70953.0985409133,36488.1482189586,49911.9439198443,40755.6767006808,35330.4712322428,31779.6397395837,29040.4023567706,32596.2675250775,39138.6302894325,36704.7097610414,53797.1280211559,69357.1501529517,46152.5843785347,33320.8911195857,32809.4080092592,44730.3956063145,33330.2607933026,36698.6508890752
Arly Partial,22542.6341108837,20329.8560032137,42482.2171456616,19262.7696280989,34942.4540343059,0,2750.42280802548,25828.6190112223,12526.6543637096,25790.8170584275,33281.125110003,16328.8756338017,10854.7979381446,14752.1801219267,13649.6447792907,61343.7803349849,50172.2609250078,12489.6254599422,45479.1854549346,31030.0221900825,22224.5102193818,14194.3508427394,26284.6524029575,50741.8917362181,13342.6999268257,24193.3341789538,23737.6744791665,13356.2600115698,27101.7021220378,53493.3374885216,35415.2192187027,11643.9384577895,21146.2884665625,27982.9830562959,13979.2013941485,28191.4149331345,9119.22726555746,27518.123247245,44436.2768545442,38371.4262675225,28233.5279527605,60639.7997804009,20047.9989585246,49501.9921045904,45230.7302902808,10157.3197558564,32458.4858241499,12089.6153022962,3650.58473395587,11712.851973143,59537.7790350228,17930.8742389937,41759.9653704754,12669.9016253703,34823.3740551815,42746.6283574386,35344.0207086194,42616.0986080946,16075.7509147255,20079.4772642247,19745.7579451184,3650.58473395587,14535.4506560305,40569.997568871,17039.2316502155,37918.3367019572,26495.390320526,7209.50070043844,18235.4070579538,32163.5231768448,24095.7123500393,30580.1243708718,13764.6892509391,19445.4323116632,10779.9154126396,15140.2250009118,12127.4949159668,34697.6669479121,47428.7572500252,23592.6953259553,41333.6095713187,33547.2939446596,10783.2748091272,12535.1653710739,39113.0027029855,28994.9171101626,30826.0096815516,31204.5331215388,13214.3944707568,39918.0257508997,13032.5970111825,63760.7573856827,16584.2566669932,15354.1271883368,22740.7354341691,60387.8480281249,52481.4759152529,25548.8283677675,50523.5109415405,54656.1865302155,11921.6399489734,14608.3810136107,9461.83040378544,11526.2777544624,4381.85072314016,17851.8632671931,42457.318675889,33748.8568465257,45255.8393848043,54530.2041898336,13483.9997987406,31827.8558884291,15693.4929060555,16327.6282514909,10678.9700777982,25677.9229717638,15710.1074461794,14988.2710731288,12863.9951773051,38624.7524965564,55733.4199112953,25351.5130029466,10954.8683179671,12316.8021816649,20246.1571971533,13130.878615703,10596.3878030301
Arly Total,24972.3255880635,17962.3324097832,44919.0961873863,18697.0269014282,33484.7003173166,2750.42280802548,0,26671.0428133468,12830.3840795899,25783.3640413785,35872.6504725975,14807.625552301,10939.2278635132,15848.7533916906,15433.342459452,63866.672983089,52249.8713110918,11900.0674417254,47752.7477726251,33389.6653086623,23759.6446523743,14268.1164112738,24119.8806156851,53685.8017330784,11698.6890613731,25032.3026622298,22506.7250989174,12771.1737780419,29627.0261074268,55712.9344554105,36246.6511432703,12357.0025209643,23482.6951591204,29947.7357595554,12980.6416130804,26930.9592316812,7387.41325990463,29856.2843522769,46828.1921488725,40030.4131431691,30447.5436930424,58354.6547137221,18462.0449335978,51990.4654353089,47978.7673606631,12021.0973629867,34094.1049654744,11737.987903531,5146.59665174406,12223.6161686107,62115.6606833499,19849.075798886,44239.7648301628,14494.1848345734,36721.4230204358,45500.4282453138,37444.4048022101,45254.1759739145,15977.0646156104,21989.0072562671,22035.2670977989,5146.59665174406,14515.72142609,42648.0572411511,19391.8128136793,40327.7569575188,28934.3323158144,10119.5330946658,20666.7877084043,34331.5271854078,23102.7971729334,30787.570662125,15925.8297802066,21018.6280081055,12536.8544753728,17018.9240879819,12230.7139760057,32657.3248654543,50125.0925807074,24931.0495971787,43561.1528901779,35683.2409130398,11323.2544480131,12962.0829186767,41569.2535408492,32092.5848434537,33112.0065807362,33451.8596777528,14309.3327013486,37853.7568336486,12262.9299334418,66154.1405197275,19587.9113414098,17916.0607695729,25195.9880347579,62907.1842472544,54658.5575979703,28243.7696481339,52980.1281270635,57056.8276376498,11983.0932061969,14599.824423802,8620.66679649993,9584.66878974111,6101.19627689445,20315.3858670023,44200.7349693737,34547.0252731298,47208.8249220393,55820.6984405978,13544.0557549667,34117.9077077877,17203.7226494927,16338.5992649132,8997.58146562399,23365.0445121237,14785.0631657759,16441.4025164124,12818.3078023015,40814.3690449249,58073.9521993149,27363.2577221393,8417.62092592071,12063.0586025148,22379.1432232181,13554.4044403333,11426.1549925651
Arusha,8069.07974132392,31500.5198494235,22817.0231525158,31458.7136559265,45312.577010037,25828.6190112223,26671.0428133468,0,26214.4006292392,19833.2609885766,12458.0414871206,28325.2851231726,19733.7292380814,16070.8208961532,23555.0911352492,43371.7054988794,30471.6846878679,28015.8117219531,29632.2859051352,12723.2843074256,13607.3372832228,22456.4363688603,42889.7442971317,29291.6341384984,30016.8050254664,18275.4959571784,39571.0935684588,31414.6759850808,11984.9823665134,32000.2847203869,18100.4888596923,19034.1463300855,13268.4598613397,9945.18042680865,23608.3877477746,47007.5620306577,28192.6411026695,6806.92329746378,24916.9890151271,25862.4012903743,7444.22000846974,80569.1964453307,41596.9730765259,29025.3318133873,29885.1562603372,19892.9350400053,16849.5403782984,21581.9851355994,23223.1005775797,20542.6994999907,42778.4895840194,11079.2992222965,25530.1440672285,16275.3300362968,13030.3102676435,30792.3275609505,17335.7855272253,21822.737132522,24429.8022573178,10182.6833996239,12234.2160113823,23223.1005775797,25187.1910150615,19303.1497875772,14762.0357974622,19005.068187133,5302.88923202198,21473.5342815676,13659.1045581378,24966.593802091,42549.2358420848,15385.7186077602,15683.4438288892,11998.9518833984,20381.0113864686,17383.9615866211,21195.8726858853,53458.8121623416,36614.7985173486,15660.231496407,23104.1485700259,12717.3211601527,19249.6985419862,22360.7706950392,20896.4587522752,15645.231956123,12133.9416916745,11437.769676528,20531.6185338547,57156.5092777087,19945.736814244,43837.5209425341,11910.0268393455,18518.9121122761,6210.48460698029,42884.5640144164,36478.0648556339,11429.0299926266,30230.2821191345,33283.0665217609,18597.4893362099,26913.0800105535,32184.4328072501,28715.3555684356,25323.170544269,13007.0792740694,29034.6354174636,19420.1547891423,25723.3389173984,40373.4004265644,23887.3659748161,11260.0466446947,17195.5687456782,33728.1623611174,32743.9442345399,43594.0046807673,34385.7423761271,18538.8199897128,22262.0593178946,29796.7956976737,35287.986892975,4299.14399597825,28460.1436900737,31059.8795367451,11378.8063352449,30395.0096905687,23140.717801315
Bahr Salamat,24830.1374638638,14542.9276081618,43493.8914374276,13834.2047284582,35414.4891636637,12526.6543637096,12830.3840795899,26214.4006292392,0,30448.0413285364,34519.7671417659,13492.0567779864,12871.9717683602,20510.1064850412,19843.5948346552,62471.3002979835,51296.7116206258,10977.7865556263,46672.0517666165,31838.5671803058,23984.0693927549,8517.80233185285,25505.5681224568,52705.4856863322,10439.2233831519,29067.359913237,18884.464077433,11482.459403719,29661.5146201639,55265.991282293,37350.907769791,13750.9550861382,23431.7818390276,29598.76962025,10598.4713812897,23878.4179240008,11498.4943164828,29455.0142961033,45651.2924466986,41287.434505731,30330.7704319275,59135.973935883,18263.3738233692,51111.9870687809,46934.0307732542,14436.1803151442,32865.3702478474,12848.5523195536,12585.0718501599,12296.5874743879,60489.389059957,19491.3608688422,42893.2221815491,16992.3501761347,35920.0301472852,45606.1505094338,36956.8816354724,43843.7599816096,9825.16014003893,21205.0160665941,21280.300337472,12585.0718501599,9851.35048667594,42982.7566377855,19413.4591166679,39745.20343346,27948.295201304,13807.7792665522,21636.4083931902,38519.9642005944,21882.0982672992,31968.768605294,14399.6093250568,19669.1780074898,14792.9862283434,17626.3270190092,12401.6373690128,32319.5279720115,49542.2990749489,26259.6653984939,42659.9936140961,34936.0444754819,12159.1043250695,16231.5246191563,40544.3590631286,29697.5638562982,32128.8751160404,32154.4007472024,14559.0885955691,37496.6563585027,14689.4455732128,64990.2786513091,20008.3029132785,18927.4899370252,24633.6606793296,61419.417806036,53550.2103778593,28333.7800000629,51987.9748903524,55822.0103655204,12852.3484368248,10450.3571327535,10629.7842318959,11558.8158068982,12613.1645058381,20642.5788220394,43814.5136263385,35426.3606653126,46619.7303740531,57201.2393755679,10068.2298771585,33583.0091884862,17137.8550254298,22803.8488761147,10426.7785677033,21207.2301709203,12323.5610252874,16452.8736015136,11367.0084225285,41446.3590219411,57365.3816904637,27274.1045444264,13001.6624570056,8701.09251225292,22113.3888428507,5401.61492443127,12191.2609966448
Bale,22216.4356978375,30433.5434767255,30295.6158890993,35940.7636859689,38635.4956269773,25790.8170584275,25783.3640413785,19833.2609885766,30448.0413285364,0,21844.1995337091,34690.0147466717,30330.4968349386,15829.102639711,16672.8116204618,48927.4828856016,39885.9694211784,29607.3222716207,36133.114137656,21125.7242569865,16301.0809782834,33518.7715418261,39879.7414611095,38187.8456351374,29208.0036318626,15176.6108308696,42844.1715128818,33897.8739568708,16903.1233683762,41167.9951265612,24039.2630543791,30128.5184385267,23354.4820421841,19154.7536176544,33371.4908936007,45288.7404501313,27466.4589889864,19135.7466461207,31727.0115471875,26073.4644443397,20140.6021779464,74616.5230121724,39995.4930955515,36635.5622205254,36518.615404806,27499.7504520054,22430.3425840318,31779.6309464169,23627.0032960775,30325.2943328544,47260.5957211021,25350.711055718,29518.0209553748,27795.2031392543,23485.5234382631,33412.5650558167,23688.7979401414,30219.9160586023,31963.3797287344,20255.5236940042,20882.9257091421,23627.0032960775,34186.0674303798,28522.5834566078,22676.0740469641,26090.3620568425,17600.2736971117,26233.7126101245,19930.6340863023,20688.1588844148,43036.6565817339,21016.2893846014,27273.3817993444,20933.8605214375,22550.7193718672,26242.0592360695,31086.3320858113,48999.5211769916,39006.9365552621,18663.917047371,28875.1360579871,23011.9764849041,28617.8971561118,25022.325123932,28042.1130085635,21216.7311599058,19565.9676915167,20875.8116558444,29679.7663609467,54661.7012333281,30057.4486456275,51307.1874520332,21628.4214743588,24829.8987882416,19709.9197338375,47874.2688742441,41804.9828465274,16597.3260557526,39009.8823627997,41588.5195925099,29786.9209923034,34521.6570505991,31025.0306114401,29182.3255118444,23941.5894946639,25314.347767916,32499.5013484034,21332.5643700769,33916.2909493616,42020.6379614546,32922.4197127412,21069.0584699881,25493.2852841174,33993.5582281082,31130.5057988163,36732.9807790927,32563.6520746586,28112.957405933,32080.9370003326,32705.4323946495,41488.9149863253,18384.3899786787,27862.011174872,32310.2378679965,19904.1584183715,32405.9284281425,31419.1001553461
